State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
141,"error","r72","r72","r72","error","error","error","error","error","r72","error","error","error","r72","r72","r72","r72","error","error","error","error","error","error","error","error","error","r72","error","r72","error","r72","r72","error","r72"
140,"error","r73","r73","r73","error","error","error","error","error","r73","error","error","error","r73","r73","r73","r73","error","error","error","error","error","error","error","error","error","r73","error","r73","error","r73","r73","error","r73"
139,"error","r71","r71","r71","error","error","error","error","error","r71","error","error","error","r71","r71","r71","r71","error","error","error","error","error","error","error","error","error","r71","error","r71","error","r71","r71","error","r71"
138,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","r46","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
137,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","r47","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
136,"error","error","error","error","r36","r36","r36","error","error","r36","error","r36","r36","error","error","error","r36","r36","r36","error","r36","error","r36","error","r36","r36","r36","r36","error","error","error","error","error","error"
135,"error","r53","r53","r53","error","error","error","s176","error","r53","r53","error","error","r53","r53","r53","r53","error","error","error","error","error","error","error","error","error","r53","error","r53","r53","r53","r53","r53","r53"
134,"error","error","error","error","r37","r37","r37","error","error","r37","error","r37","r37","error","error","error","r37","r37","r37","error","r37","error","r37","error","r37","r37","r37","r37","error","error","error","error","error","error"
133,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s175","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
132,"error","error","error","error","s49","s174","r32","error","error","s42","error","s7","s14","error","error","error","r46","s129","s100","error","s39","error","s126","error","s38","s4","s45","s52","error","error","error","error","error","error"
131,"error","error","error","error","s49","s174","r32","error","error","s42","error","s7","s14","error","error","error","r46","s129","s100","error","s39","error","s126","error","s38","s4","s45","s52","error","error","error","error","error","error"
